Season,Latitude,Longitude,FRP
DJF,5.5435,-3.8057,61.4
DJF,5.5531,8.2414,140.1
DJF,5.5536,6.7054,61.4
DJF,5.5547,8.3292,65.3
DJF,5.5688,-7.3344,162.3
DJF,5.5712,7.8009,22.9
DJF,5.5712,8.229,103.9
DJF,5.5724,7.8098,31.9
DJF,5.5756,6.7186,59.5
DJF,5.5893,7.9067,119.5
DJF,5.5964,7.9791,124.0
DJF,5.5991,8.3286,19.8
DJF,5.601,6.7706,18.3
DJF,5.6149,8.1338,52.1
DJF,5.6202,7.9424,82.0
DJF,5.624,7.9864,63.5
DJF,5.6253,7.9961,60.7
DJF,5.6277,6.8716,94.6
DJF,5.6328,7.9844,78.8
DJF,5.633,7.9852,159.7
DJF,5.6356,6.6696,16.6
DJF,5.6379,5.2092,27.4
DJF,5.6399,6.4704,97.6
DJF,5.6455,-3.0814,59.5
DJF,5.6492,6.4691,62.8
DJF,5.6558,6.5129,27.6
DJF,5.6589,6.5163,19.5
DJF,5.6592,6.518,28.7
DJF,5.6605,5.3407,21.9
DJF,5.6623,5.3533,49.9
DJF,5.6629,5.3558,22.7
DJF,5.6634,6.511,30.3
DJF,5.6643,5.3466,14.3
DJF,5.6673,5.3468,34.3
DJF,5.6793,8.1083,91.1
DJF,5.6809,6.3601,23.2
DJF,5.6814,6.3598,25.0
DJF,5.6825,6.357,33.8
DJF,5.6829,6.3546,17.7
DJF,5.6829,6.3634,17.4
DJF,5.6832,6.3613,22.9
DJF,5.6841,6.3601,21.1
DJF,5.6842,6.3619,15.1
DJF,5.6845,6.3635,17.9
DJF,5.6849,6.3591,40.6
DJF,5.6849,6.362,18.9
DJF,5.6852,6.3599,23.6
DJF,5.6852,6.3646,21.4
DJF,5.6853,6.3554,18.2
DJF,5.6856,6.3623,30.3
DJF,5.6857,6.3577,15.2
DJF,5.6859,6.3586,24.5
DJF,5.686,6.3589,28.6
DJF,5.6862,6.3603,23.2
DJF,5.6863,6.361,17.7
DJF,5.6865,6.3563,31.8
DJF,5.6867,6.3568,16.4
DJF,5.6867,6.3599,28.5
DJF,5.6869,6.3618,18.7
DJF,5.6871,6.3546,21.1
DJF,5.6871,6.3572,16.4
DJF,5.6871,6.3595,28.1
DJF,5.6871,6.3621,25.9
DJF,5.6873,6.3566,20.1
DJF,5.6873,6.3651,23.7
DJF,5.6874,6.3582,32.6
DJF,5.6879,6.3661,19.4
DJF,5.6887,6.3563,24.5
DJF,5.6888,6.3618,16.6
DJF,5.6888,6.3619,17.9
DJF,5.6892,6.3594,16.8
DJF,5.6898,6.3634,24.0
DJF,5.6914,6.3657,25.3
DJF,5.6917,6.3648,24.5
DJF,5.6922,6.3614,23.2
DJF,5.6989,8.0077,56.2
DJF,5.6995,-1.2281,87.8
DJF,5.7116,7.676,284.7
DJF,5.731,8.2032,53.9
DJF,5.7375,8.2507,56.9
DJF,5.7452,8.2404,65.4
DJF,5.7466,8.1555,92.2
DJF,5.7516,8.1568,70.8
DJF,5.752,-3.3824,285.3
DJF,5.7532,-3.3898,232.7
DJF,5.7593,8.2753,53.2
DJF,5.7644,8.2468,116.6
DJF,5.767,8.2649,62.3
DJF,5.7724,6.4278,73.6
DJF,5.7878,8.2081,82.5
DJF,5.7891,7.5787,55.4
DJF,5.8212,6.4331,90.0
DJF,5.8223,8.1952,120.2
DJF,5.8282,0.1311,80.6
DJF,5.8336,8.7863,107.4
DJF,5.8407,-1.6291,101.6
DJF,5.8449,7.5144,18.3
DJF,5.8462,7.6682,61.1
DJF,5.848,6.2875,154.0
DJF,5.8599,6.56,64.7
DJF,5.8601,6.5644,17.4
DJF,5.8613,6.5696,86.0
DJF,5.8614,6.5737,17.5
DJF,5.8638,7.6787,57.2
DJF,5.8646,8.2351,58.6
DJF,5.8683,8.2671,63.6
DJF,5.8694,7.6882,83.1
DJF,5.8699,6.4642,63.8
DJF,5.8705,6.5723,35.8
DJF,5.8712,6.4732,59.9
DJF,5.8718,6.5816,40.1
DJF,5.8732,6.5714,34.8
DJF,5.8757,6.4363,69.9
DJF,5.8759,7.6856,71.9
DJF,5.8796,8.6291,65.3
DJF,5.8807,7.6665,50.0
DJF,5.8828,7.8628,63.5
DJF,5.8849,6.5645,25.5
DJF,5.8859,6.5613,68.3
DJF,5.8896,7.6542,101.0
DJF,5.895,7.6389,114.5
DJF,5.8974,-5.5002,63.4
DJF,5.8979,5.583,16.5
DJF,5.898,5.5838,14.8
DJF,5.8985,8.6008,164.6
DJF,5.8991,5.5815,16.0
DJF,5.9,5.5836,26.2
DJF,5.901,0.0792,22.4
DJF,5.9043,8.583,89.5
DJF,5.9117,5.9136,186.3
DJF,5.9134,5.9024,107.9
DJF,5.9182,6.5916,65.0
DJF,5.9185,6.0586,71.6
DJF,5.919,0.0553,26.1
DJF,5.9199,6.784,97.3
DJF,5.9215,6.7943,66.7
DJF,5.9247,6.4613,69.3
DJF,5.9261,6.4711,64.7
DJF,5.927,-1.4492,114.6
DJF,5.9295,6.7826,143.4
DJF,5.931,6.7929,127.1
DJF,5.9314,6.1398,129.2
DJF,5.9344,6.5201,66.4
DJF,5.9348,6.5297,210.6
DJF,5.9367,6.5235,265.5
DJF,5.9369,6.2787,105.5
DJF,5.9399,8.0186,52.4
DJF,5.9472,5.0499,13.9
DJF,5.9479,7.9857,64.1
DJF,5.949,5.0528,15.4
DJF,5.9491,5.0528,17.1
DJF,5.9502,5.0531,22.2
DJF,5.9503,5.0526,16.9
DJF,5.9503,5.0532,13.7
DJF,5.9517,5.0513,25.2
DJF,5.9521,5.0519,14.3
DJF,5.9522,5.0516,20.9
DJF,5.9525,5.0488,28.2
DJF,5.9532,5.0493,15.8
DJF,5.9533,5.0515,16.9
DJF,5.9533,5.0554,17.8
DJF,5.9535,5.0491,25.8
DJF,5.9539,5.0542,13.4
DJF,5.9545,5.0481,20.3
DJF,5.9558,5.0561,20.2
DJF,5.9589,7.7593,149.3
DJF,5.9611,-0.2333,60.5
DJF,5.9634,-5.1246,55.6
DJF,5.9677,6.2259,73.1
DJF,5.9696,6.3097,64.2
DJF,5.9716,5.9601,132.8
DJF,5.9736,5.9745,138.9
DJF,5.9752,7.4951,73.6
DJF,5.9806,5.9208,74.2
DJF,5.9814,6.5416,64.9
DJF,5.9819,6.5486,83.6
DJF,5.9859,7.5955,61.2
DJF,5.9884,6.2369,51.0
DJF,5.9926,6.617,96.5
DJF,5.9937,6.6187,82.7
DJF,5.9952,6.6294,88.5
DJF,6.0072,-0.041,77.7
DJF,6.0072,6.5741,433.5
DJF,6.0107,5.8634,24.0
DJF,6.0107,6.6143,58.9
DJF,6.012,5.8683,20.5
DJF,6.0131,5.8685,20.7
DJF,6.0136,5.8671,20.6
DJF,6.0138,6.0851,118.3
DJF,6.0145,5.865,26.4
DJF,6.015,6.5681,390.0
DJF,6.0159,6.0421,98.1
DJF,6.0169,5.8648,27.6
DJF,6.0175,5.8663,18.6
DJF,6.0189,5.87,20.7
DJF,6.0192,6.6006,566.4
DJF,6.0196,5.8673,27.5
DJF,6.0215,5.825,52.3
DJF,6.0234,6.0836,76.1
DJF,6.025,6.0942,96.7
DJF,6.0261,6.5931,109.5
DJF,6.0276,6.6044,366.1
DJF,6.0281,6.4694,122.2
DJF,6.0293,6.4123,73.0
DJF,6.0316,6.6038,31.1
DJF,6.0332,6.4735,61.9
DJF,6.0335,5.9509,76.5
DJF,6.0351,6.5917,114.7
DJF,6.0353,6.2681,176.8
DJF,6.0357,5.8267,75.7
DJF,6.0365,6.601,81.1
DJF,6.0378,6.5795,268.1
DJF,6.0393,6.5902,82.5
DJF,6.04,5.9278,108.9
DJF,6.0435,5.9317,72.6
DJF,6.0498,5.9437,74.3
DJF,6.0557,5.4904,60.8
DJF,6.0572,5.8365,82.5
DJF,6.0574,6.3991,97.3
DJF,6.0577,6.5044,131.0
DJF,6.0582,5.5841,16.1
DJF,6.0626,9.0078,113.4
DJF,6.063,5.8019,49.0
DJF,6.0631,5.8683,51.7
DJF,6.0644,5.8698,78.6
DJF,6.0646,5.5818,19.3
DJF,6.0657,5.5919,15.3
DJF,6.0671,5.5859,18.6
DJF,6.0671,5.8602,167.6
DJF,6.0683,5.8798,265.1
DJF,6.0701,5.8794,196.9
